time,close,high,low,open,volumefrom,volumeto,buy_signal,sell_signal,hold_signal,12EMA,50EMA,minusDI,plusDI,MACD,MACDsignal,RSI,StoOsci,StoOsci_signal,BB_hband,BB_lband,ATR,ADI,MFI
4/3/2013,135.0,147.0,110.0,117.98,152713.73,19533010.63,0,1,0,95.5659782049707,59.827276322937486,5.00348014258923,53.606475280553234,18.761660454788043,14.02927068417712,92.37942523428221,61.24031007751938,65.57542207149841,126.74413218802735,49.89443924054404,10.813311356141067,87911237.94110444,90.06560087524778
4/4/2013,132.12,142.12,116.39,135.0,88362.53,11624021.55,0,1,0,101.18967386574444,62.662285094587,4.1665434156361325,44.639670839198686,20.287898171130863,15.28099618156787,88.71925341811264,71.14728682170542,65.29118434540021,135.83278400160336,49.5586445698252,11.878789116416707,90499875.46467616,76.7835062730691
4/5/2013,142.32,144.94,130.24,132.12,68588.73,9549088.76,0,1,0,107.5174163479376,65.78611705166202,3.773179907673687,42.236369247166,22.066142556628733,16.638025456580046,90.20018934412687,83.18017265385689,71.85592318436058,145.9166788638649,49.82474970756364,12.080304179529799,96645071.3605673,81.83579820078941
4/6/2013,142.63,143.9,139.54,142.32,18288.47,2599937.17,0,1,0,112.91935229440872,68.7996026574792,3.661335218915021,40.984397783219066,23.232617302456077,17.956943825755253,90.24211696688255,95.59389704833879,83.30711884130038,152.80499538836943,54.119290325916246,11.528853880991958,97730366.2342829,86.66796666016904
4/7/2013,162.3,164.9,142.63,142.63,60954.72,9402722.44,0,1,0,120.51637501834585,72.4662849062055,3.142319530559105,48.54180804168677,25.450879655426732,19.45573099168955,92.44953113209603,76.66666666666666,85.14691212295413,164.38765832784708,55.50805595786719,12.296078603778247,104937571.98420657,88.0121654083852
4/8/2013,187.5,194.9,162.6,162.3,114250.73,20732894.67,0,1,0,130.8215480924465,76.9774109883151,2.5622844318042888,56.568207142452906,28.909052386039917,21.346395270559626,94.24555632715773,76.89738355910187,83.05264909136913,181.64328940292685,54.52385345421598,13.746358703508372,116170564.45247282,90.51406615716051
4/9/2013,230.0,240.11,186.5,187.5,105842.25,22723191.96,0,1,0,146.07977146283935,82.97829683191058,1.9248697693700068,63.474774748940746,34.67931247542583,24.01297871153287,95.98161143093134,69.03914590747331,74.20106537774731,210.7732103836928,47.03678961630722,16.593761653257776,130323285.57809116,92.64966317777794
4/10/2013,165.0,266.0,105.0,230.0,190174.72,35118119.94,0,1,0,148.99057585317178,86.19483421105134,23.79138819380978,34.97212040466272,33.61978049445557,25.934339068117414,64.12024263364694,8.719147071710237,51.551892179428506,214.96013004635864,53.718441382212745,26.90849296373936,121380161.86666259,70.43443124632219
4/11/2013,124.9,188.7,110.2,165.0,118747.72,18867223.23,1,0,0,145.28433341422226,87.71268384983364,19.20448866453142,28.229613354832345,29.207671045040584,26.589005463502048,52.53421982855848,12.516430553527092,30.091574510903584,213.47200250388636,60.737997496113636,30.59360060918655,109579134.34318489,62.60916990381417
4/12/2013,117.0,140.0,54.25,124.9,556468.03,47619189.45,1,0,0,140.9328975043419,88.86120605180095,27.806557043555337,22.95560098217274,24.787839755099597,26.22877232182156,50.59462505253006,-29.038179148311308,-2.600867174357956,211.8847382585663,66.11097602714794,34.53334342281608,131653335.86665428,52.25432376263338
