time,close,high,low,open,volumefrom,volumeto
2/7/2018,7592.72,8572.68,7208.86,7701.25,271450.37,2159765331
2/8/2018,8260.69,8643.94,7590.48,7593.78,193040.33,1594673974
2/9/2018,8696.83,8743.2,7775.36,8259.26,162279.68,1348072086
2/10/2018,8569.29,9081.49,8176.25,8696.83,155616.78,1348923336
2/11/2018,8084.61,8573.35,7862.31,8569.32,123293.84,1013771946
2/12/2018,8911.27,8997.34,8084.41,8084.61,124923.98,1085921871
2/13/2018,8544.69,8955.15,8379.35,8911.17,98632.88,853320352.7
2/14/2018,9485.64,9508.22,8542.98,8544.69,133702.54,1220863360
2/15/2018,10033.75,10223.58,9363.38,9485.64,168776.78,1666668488
2/16/2018,10188.73,10303.14,9720.38,10033.75,105556.67,1061827697
2/17/2018,11097.21,11119.45,10074.07,10188.73,123660.48,1327921168
2/18/2018,10417.23,11288.34,10161.01,11097.21,154431.22,1659704217
2/19/2018,11182.28,11265.96,10336.32,10418.12,108244.29,1186535654
2/20/2018,11256.43,11802.23,11130.95,11182.28,142449.23,1640343868
2/21/2018,10481.66,11295.58,10256.21,11256.78,183274.25,1982721125
2/22/2018,9847.96,10941.57,9757.19,10481.66,175506.26,1795951830
2/23/2018,10175.51,10420.67,9604,9847.96,139373.76,1399448203
2/24/2018,9705.73,10528,9396.54,10175.51,125269.68,1244484469
2/25/2018,9610.11,9873.79,9329.44,9705.73,82430.45,793093192.7
2/26/2018,10326.5,10457.51,9411.82,9610.11,117416.47,1181729273
2/27/2018,10594.76,10879.38,10154.24,10326.5,99772.39,1060840699
2/28/2018,10334.44,11067.76,10303.14,10594.76,105434.79,1126074676
3/1/2018,10929.37,11090.3,10247.56,10334.44,88432.44,952472120
3/2/2018,11043.12,11191.94,10801.45,10929.37,77195.49,852908489.6
3/3/2018,11465.36,11530.66,11043.12,11043.12,71279.36,812200126.2
3/4/2018,11504.42,11539.79,11084.01,11465.36,61016.39,690727335.6
3/5/2018,11440.73,11694.15,11431.55,11503.94,68323.51,791471905.1
